Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,430000000,636000000,1258000000,1659000000,1875000000,2314000000,3194000000,3393000000,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,44237000000,43751000000,38753000000,38399300000,44241000000,49307976629,47076718733,54936483255,1.04109E+11,1.24082E+11,1.56249E+11,1.71535E+11,1.31057E+11,2.43703E+11,2.20143E+11,
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,0.211631655,0.278390651,0.488672457,0.540978271,0.629549798,0.855857238,1.031911641,0.986412681,0.976923369,1.15055616,2.639468075,6.246298263,6.041757376,4.924291958,4.693460662,4.643560064,4.291591697,3.577382952,3.20401361,3.339430035,3.391597337,2.868854517,2.844026841,4.612901518,4.573692662,4.471861289,3.793480807,2.625732725,4.109303153,3.008038634,
Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,14000000,15000000,2000000,8000000,7000000,46000000,10000000,22000000,231000000,400000000,9953190000,11679000000,13311000000,16039000000,16039000000,20198150000,21489000000,17823337208,19732862017,19036911270,47566493358,49457867919,61893428407,72636764593,1.05948E+11,1.59637E+11,1.45241E+11,
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5657000000,765000000,612000000,6912000000,849000000,2249000000,7729000000,10923200000,20569000000,42861200000,18478120465,8464027991,29116669022,31357093656,5308427623,
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27734855515,31577630305,42645727446,52565200842,42645198000,49520727661,55570115033,
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5494677428,6830457484,10679499592,13557165499,13693260312,19803767523,23914969329,
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,617320000,542000000,403000000,271000000,445280000,228040000,326340000,188860000,195940000,389820000,619380000,631380000,857000000,891200000,1881220000,4965860000,3136460000,3686780000,4821840600,6538500000,10292581917,14542468994,19578498945,8831739257,11149950093,17512629294,22693712399,22902750133,33439808465,40483340782,
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,0.30382431,0.237244863,0.156546105,0.088369567,0.149507165,0.084342992,0.105433326,0.054905364,0.054894857,0.102727852,0.146543003,0.143332284,0.153247879,0.122416372,0.21974694,0.521266568,0.307659384,0.340335559,0.402331368,0.49354362,0.707964427,0.886217837,1.013566454,0.391321242,0.410989751,0.501212046,0.501870393,0.458857415,0.563858735,0.553164512,
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.29999924,-25,-52.64970016,102.1999969,-9.80355072,-19.47644043,-14.51000023,77.66999817,-2.109999895,13.31117719,80.71935783,66.60972068,-52.70443476,66.2637916,6.914682734,-21.67267361,17.17117477
Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030000000,18300000256,40599998464,43499999232,42055000000,1.13755E+11,2.06366E+11,2.31322E+11,3.30703E+11,5.80991E+11,5.23952E+11,4.6308E+11,6.81204E+11,6.39765E+11,7.80763E+11,2.42633E+12,6.22631E+12,2.79361E+12,5.00765E+12,4.76284E+12,3.3891E+12,3.69738E+12
Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.534958544,4.329711944,9.216779934,7.778626135,5.776728582,13.28782025,21.66224916,22.69067163,30.52803161,48.477517,39.54927351,31.85246961,41.51254181,33.12020436,34.5944359,89.43493355,178.1970692,61.78061261,100.328368,80.31048136,46.30865015,
"Listed domestic companies, total",CM.MKT.LDOM.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,52,183,291,323,540,764,853,950,1086,1160,1235,1296,1384,1387,1440,1530,1604,1700,2063,2342,2494
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820000000,16714999808,43394998272,97525997568,49774000000,2.56008E+11,3.69574E+11,2.8477E+11,3.77099E+11,7.21538E+11,4.48928E+11,3.33369E+11,4.76813E+11,7.48274E+11,5.86301E+11,1.63512E+12,7.7917E+12,5.47053E+12,8.95619E+12,8.02997E+12,7.67136E+12,5.82651E+12
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216091629,3.954706738,9.851284838,17.43950085,6.837020294,29.9045166,38.79418729,27.93341722,34.8109095,60.20465672,33.88632827,22.93041557,29.05697873,38.73766914,25.97811764,60.27092521,222.9987786,120.9804977,179.437539,135.4005486,104.821556,
